Select,CENTRALStudyID,CENTRALSubmissionStatus,CRGStudyID,DateEdited,DateEntered,DateToCENTRAL,ISRCTN,Notes,Search_Tagged,ShortName,StatusofStudy,TrialistContactDetails,UDef1,UDef10,UDef2,UDef3,UDef4,UDef5,UDef6,UDef7,UDef8,UDef9
,0,Accepted,967,09/06/2015 00:00:00,22/08/2000 00:00:00,28/08/2002 00:00:00,,,0,Alfredsson 1989,Closed,"Department of Psychiatry and Psychology, Karolinska Hospital, Stockholm, Sweden.",26,YES,Sweden,,,Sulpride Dosage,,,,9000100000023731
,0,Accepted,1306,01/09/2000 00:00:00,01/09/2000 00:00:00,28/08/2002 00:00:00,,,0,Kogeorgos 1995,Closed,,28,YES,Greece,,,Sulpride vs. Risperidone,,,,9000100000013030
,0,Accepted,431,03/10/2001 00:00:00,02/08/2000 00:00:00,28/08/2002 00:00:00,,,0,Cassano 1975,Closed,ORIGIN Other Europe,76,YES,Italy,,,Sulpride vs. Haloperidol,,,,9000100000007108
,0,Accepted,434,18/06/2001 00:00:00,02/08/2000 00:00:00,28/08/2002 00:00:00,,,0,Catapano 1991,Closed,"U degli Studi, Istituto di Psichiatria, Naples, Italy ORIGIN Other Europe",Unclear,,Italy,,yes, CSG No: 1072 ,,,,9000100000023876
,0,Accepted,579,15/10/2008 00:00:00,13/08/2000 00:00:00,28/08/2002 00:00:00,,,0,Carranza 1971,Closed,,20,YES,Mexico,,yes,Sulpride vs. Chlorpromazine,,,,9000100000023865
,0,Accepted,1592,18/09/2000 00:00:00,18/09/2000 00:00:00,28/08/2002 00:00:00,,,0,Lepola 1989,Closed,"Harjamaki Mental Hospital, Kuopio, Finland. ORIGIN Other Europe",47,YES,Finland,,,Sulpride vs. Perphenazine,,,,9000100000020692
,0,Accepted,1619,09/06/2015 00:00:00,18/09/2000 00:00:00,28/08/2002 00:00:00,,,0,Lewis 1983,Closed,ORIGIN UK,25,YES,UK,,,Sulpride Dosage,,,,9000100000023741
,0,Accepted,1719,18/06/2001 00:00:00,19/09/2000 00:00:00,28/08/2002 00:00:00,,,0,Makanjuola 1988,Closed,"Department of Mental Health, University of Ife, Nigeria. ORIGIN Africa",15,YES,Nigeria,,,Chlorpromazine vs. Chlorpromazine Sulphoxide,,,,9000100000028986
,0,Accepted,362,16/08/2001 00:00:00,02/08/2000 00:00:00,28/08/2002 00:00:00,,,0,Bratfos 1979,Closed,ORIGIN Other Europe,74,YES,Norway,,,Sulpride vs. Chlorpromazine,,,,9000100000023784
,0,Accepted,1773,12/01/2017 00:00:00,20/09/2000 00:00:00,28/08/2002 00:00:00,,,0,Asada 1976,Closed,,82,,Japan,10 Weeks,yes, CSG No: 3168 ,,,,9000100000020720
